OrderID,OrderDate,CustomerID,Region,Category,SubCategory,Quantity,UnitPrice,Discount,Sales,Profit
1,2023-04-13,1011,East,Electronics,Mobile,5,985.66,0.1,4435.47,926.71
2,2024-03-11,1057,West,Electronics,Accessories,8,182.82,0.1,1316.304,77.92
3,2023-09-28,2073,East,Grocery,Beverages,7,3299.95,0.05,21944.667499999996,3028.86
4,2023-04-17,1729,Central,Furniture,Table,8,1159.04,0.1,8345.088,1275.16
5,2023-03-13,3572,North,Grocery,Food,4,649.5,0.15,2208.2999999999997,466.79
6,2024-12-01,2475,West,Clothing,Men,2,3381.77,0.15,5749.009,290.53
7,2023-01-21,2695,South,Clothing,Kids,8,3214.26,0.05,24428.376,5977.02
8,2024-09-06,1042,West,Grocery,Household,1,1881.8,0.15,1599.53,347.02
9,2023-05-02,1695,North,Grocery,Food,5,4785.43,0.0,23927.15,5625.45
10,2024-04-11,1936,North,Grocery,Food,3,327.45,0.05,933.2324999999998,195.38
11,2023-08-03,2481,South,Clothing,Men,8,4477.22,0.15,30445.096,2472.05
12,2023-11-27,4766,West,Electronics,Accessories,7,4044.04,0.15,24062.037999999997,4714.06
13,2024-04-03,1927,North,Furniture,Table,2,602.51,0.0,1205.02,191.26
14,2023-03-29,4589,Central,Electronics,Mobile,8,693.03,0.05,5267.027999999999,415.24
15,2024-01-08,1805,East,Furniture,Chair,6,3792.94,0.05,21619.757999999998,5136.01
16,2023-04-10,4091,Central,Clothing,Kids,1,4095.49,0.2,3276.392,664.66
17,2024-10-25,3405,East,Clothing,Men,4,1706.81,0.05,6485.878,993.23
18,2023-05-11,2713,East,Clothing,Kids,4,98.98,0.2,316.73600000000005,45.37
19,2024-10-23,4064,West,Clothing,Men,3,230.29,0.05,656.3265,131.94
20,2023-11-05,3564,South,Electronics,Mobile,6,1877.81,0.15,9576.831,707.64
21,2023-12-10,1921,West,Furniture,Sofa,6,875.28,0.15,4463.928,536.33
22,2024-05-06,2142,Central,Clothing,Kids,2,2367.86,0.15,4025.362,348.32
23,2024-02-18,2732,Central,Furniture,Chair,1,239.82,0.15,203.84699999999998,42.25
24,2024-01-21,4712,East,Furniture,Chair,3,2205.62,0.2,5293.488,403.21
25,2023-07-11,1635,East,Grocery,Beverages,6,1575.58,0.15,8035.458,469.52
26,2023-10-04,4138,East,Electronics,Accessories,3,4687.94,0.05,13360.628999999999,1623.17
27,2023-06-10,4794,East,Electronics,Accessories,5,430.54,0.15,1829.795,324.53
28,2024-04-04,1085,West,Electronics,Accessories,3,3033.86,0.2,7281.264,1636.06
29,2023-11-10,3127,East,Electronics,Accessories,7,2097.06,0.1,13211.478000000001,1236.1
30,2023-01-22,1979,Central,Furniture,Sofa,5,4502.55,0.2,18010.2,1969.83
31,2023-09-10,1805,North,Clothing,Women,2,1146.97,0.05,2179.243,171.69
32,2024-07-14,3994,West,Clothing,Kids,2,1586.3,0.0,3172.6,381.64
33,2024-04-19,2509,Central,Furniture,Table,4,249.3,0.0,997.2,230.75
34,2023-02-28,2949,East,Clothing,Men,8,553.95,0.2,3545.2800000000007,848.17
35,2024-05-25,1578,South,Grocery,Household,7,1185.89,0.05,7886.168500000001,1953.16
36,2024-11-12,4983,Central,Furniture,Table,4,2200.72,0.0,8802.88,1534.32
37,2024-04-20,2408,North,Furniture,Table,7,2416.41,0.2,13531.896,2263.42
38,2024-11-30,1869,South,Grocery,Food,5,2130.66,0.0,10653.3,1096.58
39,2023-07-09,1414,Central,Grocery,Beverages,5,4317.67,0.0,21588.35,1617.28
40,2024-11-17,3888,East,Clothing,Kids,4,123.56,0.1,444.81600000000003,97.18
41,2024-07-16,2384,South,Electronics,Mobile,7,1502.18,0.0,10515.26,2226.36
42,2024-07-20,1425,South,Electronics,Mobile,6,2330.99,0.05,13286.642999999998,1288.61
43,2023-09-01,2489,Central,Grocery,Food,5,58.87,0.0,294.34999999999997,32.05
44,2024-05-19,2133,South,Clothing,Men,5,3833.42,0.15,16292.034999999998,2500.25
45,2023-05-11,4237,North,Electronics,Mobile,1,4635.92,0.1,4172.328,378.86
46,2024-04-29,4133,West,Grocery,Food,5,1859.99,0.2,7439.960000000001,891.67
47,2024-10-08,4429,North,Clothing,Women,2,4070.83,0.15,6920.411,571.79
48,2023-01-21,2722,East,Clothing,Kids,5,3445.94,0.15,14645.245,1696.3
49,2023-06-16,1781,West,Clothing,Women,6,2803.56,0.2,13457.088000000002,1949.06
50,2023-10-01,2942,South,Electronics,Accessories,2,2129.98,0.15,3620.966,526.12
51,2024-01-23,2774,Central,Furniture,Sofa,7,3381.98,0.0,23673.86,3495.41
52,2024-08-23,4767,East,Grocery,Food,5,3853.63,0.2,15414.520000000002,1554.09
53,2023-11-12,3200,East,Grocery,Household,1,590.98,0.15,502.333,102.78
54,2023-01-14,2715,Central,Furniture,Sofa,1,3366.11,0.05,3197.8045,419.51
55,2023-08-30,1099,West,Electronics,Laptop,3,4075.16,0.05,11614.205999999998,1759.98
56,2023-12-12,3256,East,Electronics,Accessories,4,4987.91,0.1,17956.476,3398.66
57,2024-07-18,2798,South,Grocery,Household,6,3785.86,0.15,19307.886,2019.77
